TI,veer,veer_0,x0,power
3.0,-10.0,-9.728416734975415,2.330376666666667,1.3437896360553445
3.0,0.0,0.010865933764876805,2.5267260416666666,0.8185085819672949
3.0,10.0,9.742724055245453,2.330376666666667,1.3109191737685413
3.0,20.0,19.338511470461114,2.0685775,1.55135003220855
3.0,30.0,28.660007869408357,1.7413285416666664,1.5933037732421658
3.0,40.0,37.63764697978253,1.6104289583333333,1.5647572297112569
8.0,-10.0,-8.350081256689737,1.4795293750000003,1.0623830096504048
8.0,0.0,0.08192562623184409,1.5449791666666668,0.7965754717103818
8.0,10.0,8.368175987385701,1.4795293750000003,1.027609334320445
8.0,20.0,16.389478756665973,1.3486297916666672,1.1890009720174903
8.0,30.0,23.94300877080344,1.2177302083333332,1.2780236268034673
8.0,40.0,31.082380827950644,1.0868306250000002,1.2987891596961318
